 haingen  do ; keihen...  quelques-uns  disent  alors... 
 han  do  !  1  * ; mange 
 hom  do  | ; prends-le 
 !  . ; (c£.  les  variantes  dho  et  to) 
 1  *  doo ; locatif 
 . ; en  haut,  vers  l'inté-  rieur  du  pays  Grin 
 doo ; hnyoot  ils  sont 
 en ; brousse  (c£.  la  variante  dhoo) 
 doo ; (cf?  dâä   piquer) 
 doo ; génération  jee  tha 
 do0  me  nokon  thaan ; les  mêmes  générations  que  le  fils  du  chef  hnyi 
 jee  do0  walaang  ang   dans ; les  générations  d'aujourd'hui  doo  i  (c£.  daai  exposer  quelque  chose  au  soleil) 
 doxu ; royaume 
 doxuuk  doxu ; mon  royaume 
 doxoom  doxu ; ton 
 —  doxoon  doxu ; ISOD'— 
 du ; plein  d'eau 
 e  du ; c'est  plein  d'eau  hnyei 
 a  e  du ; champ  plein  d'eau 
 dudu ; äà  profusion 
 e  dudu ; il  y  en  a  à  profusion 
 ame  dudu ; il  donne  toujours 
 duok ; Lifou 
 waduok ; les  gens  de  Lifou  duong  en  secret,  secrètement 
 aa ; ditr  duong  gut  11  est  sorti  en  se-  cret 
 änyä ; duongâ  faire  qqc.  en  secret 
 duusem ; petite  fille 
 wanakat  duusem ; petite  fille 
 dut ; particule  postverbale  (variante  de  but  ) 
 aa  gaan  dut  wanakat ; l'enfant  a  grandi 
 e  han  dut ; c'est  infecté 
 dûû ; poisson  :  bec  de  cane  à 
 museau ; long,  Lethrinus  miniatus 
