 ciââô ; tresser  (palme  de  cocotier)  
 ciööû ++; 
 ciââû  ke  tangaai ; tresser  un  panier 
 ciööû  tangaai ; tresser  des  paniers 
 ciboouca ; s'agenouiller  (cf.  ci  et  booucaan) 
 cica ; papa ! (vocatif) 
 cici 1 ; vrai,  authentique,  de  valeur 
 moomo  cici ; femme  de  valeur 
 hu  cici ; pirogue  à  balancier  
 cici 2 ; postverbe : juste,  justement 
 ogeme  oo  cici  ju ; j'arrive  juste  (cf.  cicöö) 
 cicöö ; forme  transitivée  de  cici : justement,  juste  en  face  de  cicii +  
 ogeme  oo  cicöö  ûen  ame  he  hnyin ; j'arrive  juste  au  moment  où  il  part 
 haa  cicöö ; dire  quelque  chose  de  juste   
 laba  cicöö  ûöö ; rester  en  face  de  l'arbre 
 laba  cicii  nya ; rester  en  face  de  moi  
 cihngö ; éternuer  
 cilok ; holothurie,  biche  de  mer  noire 
 cilok  wanu ; grosse  holothurie  à  taches  blanches  
 ciilok ; enfoncer  le  pied  dans  un  trou,  piétiner  un  sol  humide  (ex.  champ  de  taros,  pour  le  préparer)  
 cilölö ; tomber  prématurément  (ex.  cocos)  
 wacilölö ; coco  avorté 
 e  gaan  hmââ  ûcilölöiny  wanu ; il y  a  beaucoup  de  cocos  tombés  prématurément 
 cim ; (cf.  cem  sucer,  suçoter) 
 ciimali ; sauter  à  cloche-pied 
 ciimâ [ciimæe] ;  appuyer  sur  quelque  chose  avec  la  main 
 cimöö  +  ;
 ciimâ  ke  at ; appuyer  avec  la  main  sur  quelqu'un 
 ûciimöng ; s'appuyer,  être  appuyé  (main  ouverte,  à  plat) 
 -cing  ; plante : palétuvier  à  fruits  comestibles,  Bruguiera  ertopetala  W.  et  Arn.,  Rhizophoracée 
 ûcing ; pied  de  — 
