 benyin  a  metâ; sa  main  droite  
 benyin a  me  =  benyin  a  meeny  =  benyin  a  wacame ; sa  main  gauche 
 beo ; monnaie  de  coquillage  (originaire  de  la  Grande  Terre) 
 beöönua ; meilleur 
 u  at  a  u  beöönua ; tu  es  le  meilleur 
 u  beöönua  huk ; tu  es  meilleur  que  moi 
 u  beöönua hon ;  tu  es  meilleur  que  lui  
 berese ; plante : Euphorbia  heterophylla  L.,  Euphorbiacée  
 bet ; plante : Ficus  sp.  (à  grandes  feuilles),  Moracée
 ibet ; un  pied  de  —  
 bwiny bet ;  battoirs  de  danse  en  écorce 
 betenge ;  aimer,  avoir  pitié  de,  être  ému  par  
 betenge  käu ; l'aimer 
 betenge  gaan ; avoir  pitié  de  lui  
 ibetengien ; son  amour 
 sang betenge kâu ; émouvoir  quelqu'un 
 beû ; long,  longtemps
 e  beû ; c'est  long 
 ame  beû  hmââ  tootr ; il  s'allonge  de  plus  en  plus  
 iny na  mwöötr  beû  ju  ! ; pourvu  que  je  vive  longtemps !  
 ame  haa  beûâ  [beûœ]; il  parle  longtemps 
 ibeûen ; sa  longueur 
 oobeûâ  [oobeûœ]; allonger  quelque  chose 
 obeûbeû ; coquillages  turritelles et térêbres  sp. 
 beû  anginy ; clone  de  taro  d'eau 
 bexöt ; plein,  complet 
 bexöt  hia ; totalement 
 aa  bexöt  tö ; c'est  complet  
 -bë 1 ; dans : 
 obë ; amorce,  appât 
 habëë ; amorcer  
 bë 2 ;  verbe  impersonnel  privatif :  pas  de,  sans 
 e  bë ; a. il n'y en a pas b. non  ! (réponse  négative) 
 e  bë  but ; il  n'y  en  a  plus 
 e  bë  homenâân ; il  étouffe 
 e  bë  falawa ; il  n'y  a  pas  de  pain 
 e  bë  ûnyi ; il  n'y  a rien 
 oobëë ; enlever,  faire  disparaître
