 a- 1 ; indice  personnel  sujet  3ème  pers.  du  sing.  :  il,  elle  (+  marque  temporelle  amalgamée) 
 ame ; il  (+  présent) 
 amaa ; il  (+  futur) 
 aa ; il  (+  passé) 
 a- 2 ; a.  particule  relative  :  qui  (+  verbe  d'état),  qui  (+  nom  en  apposition) 
 at  a  e  gaan ; l'homme  qui  est  grand,  l'homme  grand 
 ûöö  a  e  bobotr ; l'arbre  qui  est  sec,  l'arbre  sec 
 u  at  a  u  biigaan ; tu  es  un  homme  orgueilleux 
 tavëët  a  ödra  biju  Hulup; les  gens  qui  sont  restés  à  Hulup   
 Poou  a  keiny... ; Poou, son  cadet...  b.  parce  que  (mis  pour  anyin  a  ou  caan  a) 
 öhmune  he  jeem  a  ötinaa  be  thuutr ; nous  sommes  venus,  car  nous  voudrions  pêcher 
 aa ; indice  personnel  sujet  3ême  pers.  du  sing.  (+  passé) 
 aa  he  but ; il  est  parti  (cf.  a-1) 
 aba ; caresser 
 abwoo  +  et  ++;
 aba  wanakat ; caresser  l'enfant 
 abwöö  nya ; me  caresser 
 abwöö  troohnen ; égaliser  avec  la  main  les  massifs  d'ignames 
 abâ  [abæ] ; mesurer  par  brasses 
 aböö  ++  ;
 aben ; balancier  de  pirogue 
 ta  jee  hu  cici  a  e  hu  aben ; les  pirogues  à  balancier 
 abenyin ; son  épaule 
 abenyik ; mon  -
 abenyâm ; ton  -  (cf.  benyin) 
 ace ;" ""la  vieille""  (terme  familier)  (jeu  de  mot  par  inversion  des  deux  dernières  syllabes  de  soohmwecaa. 
 Ces  métathèses  sont  courantes  avec  les  noms  propres)"

