 41 ; dhôô  locatif  :  en  haut,  ä  l'intérieur  du  pays  (cf.  la  variante  doo*) 
 inya  dhoo ; je  suis  lä-haut  il  est 
 en ; brousse 
 e  dhoo  hnyoot  edhoo ; 1ä-haut  (sans  mouvement) 
 eheedhoo ;  1ä-haut  (imprécis) 
 jimedhoo ; de  1ä-haut  (provenance) 
 käâdhoo ; vers  lä-haut  (destination) 
 dren! ; algùef 
 dren“ ; dans 
 .  ta  dren ; sol  boueux  propice  à  la  cultu-  re  du  taro  (région  entre  Fajawe  et  Vekatr) 
 aten  ta  dren ; gens  de  cette  région  qui  cultivent  surtout  le  taro 
 drenâ ; poisson 
 : ; sorte  de  hareng,  Chüro-  centrus  dorab 
 drii ; Couler,  inondation  dria!  faire  du  bruit  (claquement) 
 hwadria ;" tintamarre  dria“  cerf  (anglais  ""'deer"") "
 dridring ; moucherons 
 drihnga ; clone  d'igname  Dioscorea  alata 
 drila ; à.  cordelette  en  poil  de  roussette  b.  laine 
 weiken  drila ; sa  ceinture  en  poil  de  roussette  driiLu  sorte  de  tressage  -drin  (=  -rin)  suffixe  possessif  3ême  personne  du  pluriel  restreint  (ancien  L  -  leur  triel) 
 v  n ; anyirin  le  leur  anyîdrin 
 .  dring ; oiseau 
 L ;" ""buse”,  Cireus  approxi-  Mmans  approximans  b.  tricheur "
 drodro ; a.  voyeur 
